PLAYER,TEAM,2026,CH 25-26,ST 25-26,2027,CH 26-27,ST 26-27,2028,CH 27-28,ST 27-28,2029,CH 28-29,ST 28-29,2030,CH 29-30,ST 29-30,2031,CH 30-31,ST 30-31,TOTAL GUARANTEED (with 2024-25)
CJ McCollum,Atlanta,"$30,666,666","$30,666,666",GUARANTEED,,,,,,,,,,,,,,,,"$63,999,999"
Jalen Johnson,Atlanta,"$30,000,000","$30,000,000",GUARANTEED,"$30,000,000","$30,000,000",GUARANTEED,"$30,000,000","$30,000,000",GUARANTEED,"$30,000,000","$30,000,000",GUARANTEED,"$30,000,000","$30,000,000",GUARANTEED,,,,"$154,510,905"
Jonathan Kuminga,Atlanta,"$23,799,569","$23,799,569",GUARANTEED,"$24,300,000",$0,TEAM OPT,,,,,,,,,,,,,"$31,435,876"
Nickeil Alexander-Walker,Atlanta,"$15,161,800","$15,161,800",GUARANTEED,"$14,403,710","$14,403,710",GUARANTEED,"$15,161,800","$15,161,800",GUARANTEED,"$15,919,890","$15,919,890",PLAYER OPT,,,,,,,"$64,959,700"
Onyeka Okongwu,Atlanta,"$15,000,000","$15,000,000",GUARANTEED,"$16,120,000","$16,120,000",GUARANTEED,"$16,880,000","$16,880,000",GUARANTEED,,,,,,,,,,"$62,000,000"
Corey Kispert,Atlanta,"$13,975,000","$13,975,000",GUARANTEED,"$13,975,000","$13,975,000",GUARANTEED,"$13,050,000","$13,050,000",GUARANTEED,"$13,050,000",$0,TEAM OPT,,,,,,,"$46,705,887"
Zaccharie Risacher,Atlanta,"$13,197,720","$13,197,720",GUARANTEED,"$13,826,040","$16,120,000",GUARANTEED,"$17,434,636",$0,TEAM OPT,,,,,,,,,,"$39,592,800"
Gabe Vincent,Atlanta,"$11,500,000","$11,500,000",GUARANTEED,,,,,,,,,,,,,,,,"$22,500,000"
Buddy Hield,Atlanta,"$9,219,512","$9,219,512",GUARANTEED,"$9,658,536","$3,000,000",NOT G,"$10,097,560","$3,136,364",PLAYER OPT,,,,,,,,,,"$24,136,364"
Dyson Daniels,Atlanta,"$7,707,709","$7,707,709",GUARANTEED,"$25,000,000","$25,000,000",GUARANTEED,"$25,000,000","$25,000,000",GUARANTEED,"$25,000,000","$25,000,000",GUARANTEED,"$25,000,000","$25,000,000",GUARANTEED,,,,"$113,767,229"
Asa Newell,Atlanta,"$3,237,480","$3,237,480",GUARANTEED,"$3,399,480","$3,399,480",GUARANTEED,"$3,560,880",$0,TEAM OPT,"$6,042,813",$0,TEAM OPT,,,,,,,"$6,636,960"
Jock Landale,Atlanta,"$2,461,463","$2,296,274",GUARANTEED,,,,,,,,,,,,,,,,"$10,461,463"
Keaton Wallace,Atlanta,"$2,296,274","$2,296,274",GUARANTEED,,,,,,,,,,,,,,,,"$2,296,274"
Mouhamed Gueye,Atlanta,"$2,221,677","$2,221,677",GUARANTEED,"$2,406,205",$0,TEAM OPT,,,,,,,,,,,,,"$4,113,534"
Caleb Houstan,Atlanta,"$724,598","$699,440",GUARANTEED,,,,,,,,,,,,,,,,"$2,744,297"
RayJ Dennis,Atlanta,"$331,365",$0,TWO-WAY,"$679,042",$0,TWO-WAY,,,,,,,,,,,,,$0
Christian Koloko,Atlanta,"$279,891",$0,TWO-WAY,,,,,,,,,,,,,,,,$0
Jayson Tatum,Boston,"$54,126,450","$54,126,450",GUARANTEED,"$58,456,566","$58,456,566",GUARANTEED,"$62,786,682","$62,786,682",GUARANTEED,"$67,116,798","$67,116,798",GUARANTEED,"$71,446,914","$71,446,914",PLAYER OPT,,,,"$348,781,750"
Jaylen Brown,Boston,"$53,142,264","$53,142,264",GUARANTEED,"$57,078,728","$57,078,728",GUARANTEED,"$61,015,192","$61,015,192",GUARANTEED,"$64,951,656","$64,951,656",GUARANTEED,,,,,,,"$285,393,640"
Derrick White,Boston,"$28,100,000","$28,100,000",GUARANTEED,"$30,348,000","$30,348,000",GUARANTEED,"$32,596,000","$32,596,000",GUARANTEED,"$34,844,000","$34,844,000",PLAYER OPT,,,,,,,"$145,709,429"
Nikola Vucevic,Boston,"$21,481,481","$21,481,481",GUARANTEED,,,,,,,,,,,,,,,,"$41,481,481"
Sam Hauser,Boston,"$10,044,644","$10,044,644",GUARANTEED,"$10,848,215","$10,848,215",GUARANTEED,"$11,651,785","$11,651,785",GUARANTEED,"$12,455,356","$12,455,356",GUARANTEED,,,,,,,"$47,092,344"
Payton Pritchard,Boston,"$7,232,143","$7,232,143",GUARANTEED,"$7,767,857","$7,767,857",GUARANTEED,"$8,303,571","$8,303,571",GUARANTEED,,,,,,,,,,"$30,000,000"
Hugo Gonzalez,Boston,"$2,783,880","$2,783,880",GUARANTEED,"$2,923,560","$2,923,560",GUARANTEED,"$3,062,640",$0,TEAM OPT,"$5,528,065",$0,TEAM OPT,,,,,,,"$5,707,440"
Baylor Scheierman,Boston,"$2,619,000","$2,619,000",GUARANTEED,"$2,744,040","$2,744,040",GUARANTEED,"$4,952,992",$0,TEAM OPT,,,,,,,,,,"$7,857,360"
Luka Garza,Boston,"$2,461,463","$2,461,463",GUARANTEED,"$2,801,346","$2,801,346",GUARANTEED,,,,,,,,,,,,,"$7,425,415"
Neemias Queta,Boston,"$2,349,578","$2,349,578",GUARANTEED,"$2,667,944",$0,NOT G,,,,,,,,,,,,,"$4,512,184"
Jordan Walsh,Boston,"$2,221,677","$2,221,677",GUARANTEED,"$2,221,677",$0,TEAM OPT,,,,,,,,,,,,,"$4,113,534"
Ron Harper Jr,Boston,"$636,435",$0,TWO-WAY,,,,,,,,,,,,,,,,$0
Max Shulga,Boston,"$636,435",$0,TWO-WAY,,,,,,,,,,,,,,,,$0
Amari Williams,Boston,"$490,128","$490,128",GUARANTEED,"$2,150,917",$0,TEAM OPT,,,,,,,,,,,,,"$490,128"
Dalano Banton,Boston,"$141,463","$131,970",10-DAY,,,,,,,,,,,,,,,,"$2,328,940"
John Tonje,Boston,"$73,153","$73,153",10-DAY,,,,,,,,,,,,,,,,"$73,153"
Michael Porter,Brooklyn,"$38,333,050","$38,333,050",GUARANTEED,"$40,806,150","$40,806,150",GUARANTEED,,,,,,,,,,,,,"$114,999,150"
Nicolas Claxton,Brooklyn,"$25,352,272","$25,352,272",GUARANTEED,"$23,147,727","$23,147,727",GUARANTEED,"$20,943,184","$20,943,184",GUARANTEED,,,,,,,,,,"$97,000,000"
Terance Mann,Brooklyn,"$15,500,000","$15,500,000",GUARANTEED,"$15,500,000","$15,500,000",GUARANTEED,"$16,000,000","$16,000,000",GUARANTEED,,,,,,,,,,"$58,423,077"
Egor Demin,Brooklyn,"$6,889,200","$6,889,200",GUARANTEED,"$7,233,720","$7,233,720",GUARANTEED,"$7,578,240",$0,TEAM OPT,"$9,639,521",$0,TEAM OPT,,,,,,,"$14,122,920"
Ochai Agbaji,Brooklyn,"$6,383,525","$6,383,525",GUARANTEED,,,,,,,,,,,,,,,,"$10,693,805"
Day'Ron Sharpe,Brooklyn,"$6,250,000","$6,250,000",GUARANTEED,"$6,250,000",$0,TEAM OPT,,,,,,,,,,,,,"$10,239,122"
Ziaire Williams,Brooklyn,"$6,250,000","$6,250,000",GUARANTEED,"$6,250,000",$0,TEAM OPT,,,,,,,,,,,,,"$12,383,005"
Nolan Traore,Brooklyn,"$3,811,560","$3,811,560",GUARANTEED,"$4,002,000","$4,002,000",GUARANTEED,"$4,193,040",$0,TEAM OPT,"$6,457,282",$0,TEAM OPT,,,,,,,"$7,813,560"
Noah Clowney,Brooklyn,"$3,398,640","$3,398,640",GUARANTEED,"$5,414,034","$5,414,034",GUARANTEED,,,,,,,,,,,,,"$12,056,754"
Drake Powell,Brooklyn,"$3,372,240","$3,372,240",GUARANTEED,"$3,540,600","$3,540,600",GUARANTEED,"$3,709,320",$0,TEAM OPT,"$6,101,831",$0,TEAM OPT,,,,,,,"$6,912,840"
Ben Saraf,Brooklyn,"$2,884,560","$2,884,560",GUARANTEED,"$3,028,560","$3,028,560",GUARANTEED,"$3,172,920",$0,TEAM OPT,"$5,720,775",$0,TEAM OPT,,,,,,,"$5,913,120"
Danny Wolf,Brooklyn,"$2,801,280","$2,801,280",GUARANTEED,"$2,941,440","$2,941,440",GUARANTEED,"$3,081,840",$0,TEAM OPT,"$5,559,639",$0,TEAM OPT,,,,,,,"$5,742,720"
Josh Minott,Brooklyn,"$2,378,870","$2,378,870",GUARANTEED,"$2,584,539",$0,TEAM OPT,,,,,,,,,,,,,"$4,398,569"
Jalen Wilson,Brooklyn,"$2,221,677","$2,221,677",GUARANTEED,,,,,,,,,,,,,,,,"$4,113,534"
Tyson Etienne,Brooklyn,"$636,435",$0,TWO-WAY,,,,,,,,,,,,,,,,$0
EJ Liddell,Brooklyn,"$636,435",$0,TWO-WAY,,,,,,,,,,,,,,,,$0
Chaney Johnson,Brooklyn,"$347,451",$0,TWO-WAY,,,,,,,,,,,,,,,,$0
LaMelo Ball,Charlotte,"$37,958,760","$37,958,760",GUARANTEED,"$40,770,520","$40,770,520",GUARANTEED,"$43,582,280","$43,582,280",GUARANTEED,"$46,394,040","$46,394,040",GUARANTEED,,,,,,,"$203,852,600"
Miles Bridges,Charlotte,"$25,000,000","$25,000,000",GUARANTEED,"$22,826,087","$22,826,087",GUARANTEED,,,,,,,,,,,,,"$75,000,000"
Josh Green,Charlotte,"$13,666,667","$13,666,667",GUARANTEED,"$14,679,012","$14,679,012",GUARANTEED,,,,,,,,,,,,,"$41,000,000"
Grant Williams,Charlotte,"$13,645,500","$13,645,500",GUARANTEED,"$14,265,750","$14,265,750",GUARANTEED,,,,,,,,,,,,,"$40,936,500"
Coby White,Charlotte,"$12,888,889","$12,888,889",GUARANTEED,,,,,,,,,,,,,,,,"$24,888,889"
Brandon Miller,Charlotte,"$11,968,800","$11,968,800",GUARANTEED,"$15,104,626","$15,104,626",GUARANTEED,,,,,,,,,,,,,"$38,498,026"
Kon Knueppel,Charlotte,"$10,015,680","$10,015,680",GUARANTEED,"$10,516,560","$10,516,560",GUARANTEED,"$11,017,560",$0,TEAM OPT,"$13,937,213",$0,TEAM OPT,,,,,,,"$20,532,240"
Tre Mann,Charlotte,"$8,000,000","$8,000,000",GUARANTEED,"$8,000,000","$8,000,000",GUARANTEED,"$8,000,000",$0,TEAM OPT,,,,,,,,,,"$20,908,373"
Tidjane Salaun,Charlotte,"$7,863,240","$7,863,240",GUARANTEED,"$8,237,880","$8,237,880",GUARANTEED,"$10,445,632",$0,TEAM OPT,,,,,,,,,,"$23,589,840"
Liam McNeeley,Charlotte,"$2,763,960","$2,763,960",GUARANTEED,"$2,902,080","$2,902,080",GUARANTEED,"$3,040,320",$0,TEAM OPT,"$5,487,778",$0,TEAM OPT,,,,,,,"$5,666,040"
Xavier Tillman,Charlotte,"$2,546,675","$2,546,675",GUARANTEED,,,,,,,,,,,,,,,,"$4,784,366"
Ryan Kalkbrenner,Charlotte,"$2,296,274","$2,296,274",GUARANTEED,"$2,411,090","$2,411,090",GUARANTEED,"$2,525,901",$0,NOT G,"$2,735,698",$0,TEAM OPT,,,,,,,"$4,707,364"
Sion James,Charlotte,"$2,296,274","$2,296,274",GUARANTEED,"$2,411,090","$2,411,090",GUARANTEED,"$2,525,901",$0,NOT G,"$2,735,698",$0,TEAM OPT,,,,,,,"$4,707,364"
Moussa Diabate,Charlotte,"$2,270,735","$2,270,735",GUARANTEED,"$2,461,462",$0,NOT G,,,,,,,,,,,,,"$3,228,498"
Pat Connaughton,Charlotte,"$1,315,814","$1,315,814",GUARANTEED,"$3,815,861",$0,TEAM OPT,,,,,,,,,,,,,"$10,739,683"
Antonio Reeves,Charlotte,"$636,435",$0,TWO-WAY,,,,,,,,,,,,,,,,"$1,157,153"
PJ Hall,Charlotte,"$353,885",$0,TWO-WAY,"$679,042",$0,TWO-WAY,,,,,,,,,,,,,$0
Tosan Evbuomwan,Charlotte,"$212,331",$0,TWO-WAY,"$679,042",$0,TWO-WAY,,,,,,,,,,,,,$0
Anfernee Simons,Chicago,"$27,678,571","$27,678,571",GUARANTEED,,,,,,,,,,,,,,,,"$53,571,428"
Josh Giddey,Chicago,"$25,000,000","$25,000,000",GUARANTEED,"$25,000,000","$25,000,000",GUARANTEED,"$25,000,000","$25,000,000",GUARANTEED,"$25,000,000","$25,000,000",GUARANTEED,,,,,,,"$108,352,367"
Collin Sexton,Chicago,"$18,975,000","$18,975,000",GUARANTEED,,,,,,,,,,,,,,,,"$37,125,000"
Zach Collins,Chicago,"$18,080,496","$18,080,496",GUARANTEED,,,,,,,,,,,,,,,,"$34,821,696"
Patrick Williams,Chicago,"$18,000,000","$18,000,000",GUARANTEED,"$18,000,000","$18,000,000",GUARANTEED,"$18,000,000","$18,000,000",GUARANTEED,"$18,000,000","$18,000,000",PLAYER OPT,,,,,,,"$90,000,000"
Isaac Okoro,Chicago,"$11,000,000","$11,000,000",GUARANTEED,"$11,814,814","$11,814,814",GUARANTEED,,,,,,,,,,,,,"$33,000,000"
Jaden Ivey,Chicago,"$10,107,163","$10,107,163",GUARANTEED,,,,,,,,,,,,,,,,"$18,084,403"
Jalen Smith,Chicago,"$9,000,000","$9,000,000",GUARANTEED,"$9,428,571","$9,428,571",GUARANTEED,,,,,,,,,,,,,"$27,000,000"
Tre Jones,Chicago,"$8,000,000","$8,000,000",GUARANTEED,"$8,000,000","$8,000,000",GUARANTEED,"$8,000,000",$0,TEAM OPT,,,,,,,,,,"$25,104,167"
Rob Dillingham,Chicago,"$6,576,120","$6,576,120",GUARANTEED,"$6,889,320","$6,889,320",GUARANTEED,"$8,763,215",$0,TEAM OPT,,,,,,,,,,"$19,728,360"
Guerschon Yabusele,Chicago,"$5,500,000","$5,500,000",GUARANTEED,,,,,,,,,,,,,,,,"$7,587,519"
Matas Buzelis,Chicago,"$5,455,560","$5,455,560",GUARANTEED,"$5,715,360","$5,715,360",GUARANTEED,"$7,584,283",$0,TEAM OPT,,,,,,,,,,"$16,366,440"
Noa Essengue,Chicago,"$5,429,520","$5,429,520",GUARANTEED,"$5,701,200","$5,701,200",GUARANTEED,"$5,972,760",$0,TEAM OPT,"$8,230,463",$0,TEAM OPT,,,,,,,"$11,130,720"
Nick Richards,Chicago,"$5,000,000","$5,000,000",GUARANTEED,,,,,,,,,,,,,,,,"$10,000,000"
Leonard Miller,Chicago,"$2,221,677","$2,221,677",GUARANTEED,"$2,406,205",$0,TEAM OPT,,,,,,,,,,,,,"$4,113,534"
Lachlan Olbrich,Chicago,"$636,435",$0,TWO-WAY,,,,,,,,,,,,,,,,$0
Yuki Kawamura,Chicago,"$312,062",$0,TWO-WAY,,,,,,,,,,,,,,,,$0
Mac McClung,Chicago,"$215,548",$0,TWO-WAY,,,,,,,,,,,,,,,,$0
Donovan Mitchell,Cleveland,"$46,394,100","$46,394,100",GUARANTEED,"$50,105,628","$50,105,628",GUARANTEED,"$53,817,156","$53,817,156",PLAYER OPT,,,,,,,,,,"$185,727,194"
Evan Mobley,Cleveland,"$46,394,100","$46,394,100",GUARANTEED,"$50,105,628","$50,105,628",GUARANTEED,"$53,817,156","$53,817,156",GUARANTEED,"$57,528,684","$57,528,684",GUARANTEED,"$61,240,212","$61,240,212",GUARANTEED,,,,"$280,313,437"
James Harden,Cleveland,"$39,446,090","$39,446,090",GUARANTEED,"$42,317,307","$13,317,307",PLAYER OPT,,,,,,,,,,,,,"$86,417,243"
Jarrett Allen,Cleveland,"$20,000,000","$20,000,000",GUARANTEED,"$28,000,000","$28,000,000",GUARANTEED,"$30,240,000","$30,240,000",GUARANTEED,"$32,480,000","$32,480,000",GUARANTEED,,,,,,,"$130,720,000"
Max Strus,Cleveland,"$15,936,452","$15,936,452",GUARANTEED,"$16,660,836","$16,660,836",GUARANTEED,,,,,,,,,,,,,"$47,809,356"
Dennis Schroeder,Cleveland,"$14,104,000","$14,104,000",GUARANTEED,"$14,809,200","$14,809,200",GUARANTEED,"$15,514,400","$4,350,000",PARTIAL G,,,,,,,,,,"$46,288,450"
Sam Merrill,Cleveland,"$8,482,144","$8,482,144",GUARANTEED,"$9,160,715","$9,160,715",GUARANTEED,"$9,839,285","$9,839,285",GUARANTEED,"$10,517,856","$10,517,856",GUARANTEED,,,,,,,"$40,164,993"
Dean Wade,Cleveland,"$6,623,456","$6,623,456",GUARANTEED,,,,,,,,,,,,,,,,"$12,790,123"
Larry Nance Jr,Cleveland,"$3,634,153","$2,296,274",GUARANTEED,,,,,,,,,,,,,,,,"$14,839,153"
Jaylon Tyson,Cleveland,"$3,492,480","$3,492,480",GUARANTEED,"$3,658,560","$3,658,560",GUARANTEED,"$5,641,500",$0,TEAM OPT,,,,,,,,,,"$10,477,200"
Thomas Bryant,Cleveland,"$3,287,409","$2,296,274",GUARANTEED,,,,,,,,,,,,,,,,"$6,088,243"
Keon Ellis,Cleveland,"$2,301,587","$2,301,587",GUARANTEED,,,,,,,,,,,,,,,,"$4,422,280"
Craig Porter,Cleveland,"$2,221,677","$2,221,677",GUARANTEED,"$2,406,205",$0,TEAM OPT,,,,,,,,,,,,,"$4,113,534"
Tyrese Proctor,Cleveland,"$1,272,870","$1,272,870",GUARANTEED,"$2,150,917","$2,150,917",GUARANTEED,"$2,525,901","$500,000",PARTIAL G,"$2,735,698",$0,TEAM OPT,,,,,,,"$3,923,787"
Nae'Qwan Tomlin,Cleveland,"$718,150","$718,150",GUARANTEED,"$2,411,090","$2,411,090",GUARANTEED,,,,,,,,,,,,,"$3,129,240"
Tristan Enaruna,Cleveland,"$241,285",$0,TWO-WAY,"$679,042",$0,TWO-WAY,,,,,,,,,,,,,$0
Riley Minix,Cleveland,"$189,811",$0,TWO-WAY,"$679,042",$0,TWO-WAY,,,,,,,,,,,,,$0
Darius Brown,Cleveland,"$167,291",$0,TWO-WAY,,,,,,,,,,,,,,,,$0
Kyrie Irving,Dallas,"$36,566,002","$36,566,002",GUARANTEED,"$39,491,282","$39,491,282",GUARANTEED,"$42,416,562","$42,416,562",PLAYER OPT,,,,,,,,,,"$158,473,846"
Khris Middleton,Dallas,"$33,296,296","$33,296,296",GUARANTEED,,,,,,,,,,,,,,,,"$64,296,296"
Klay Thompson,Dallas,"$16,666,667","$16,666,667",GUARANTEED,"$17,460,317","$17,460,317",GUARANTEED,,,,,,,,,,,,,"$50,000,000"
Daniel Gafford,Dallas,"$14,386,320","$14,386,320",GUARANTEED,"$17,263,584","$17,263,584",GUARANTEED,"$18,126,763","$18,126,763",GUARANTEED,"$18,989,942","$18,989,942",GUARANTEED,,,,,,,"$82,160,769"
PJ Washington,Dallas,"$14,152,174","$14,152,174",GUARANTEED,"$19,813,044","$19,813,044",GUARANTEED,"$21,398,088","$21,398,088",GUARANTEED,"$22,983,132","$22,983,132",GUARANTEED,"$24,568,176","$24,568,176",GUARANTEED,,,,"$118,414,614"
Cooper Flagg,Dallas,"$13,825,920","$13,825,920",GUARANTEED,"$14,517,480","$14,517,480",GUARANTEED,"$15,208,680",$0,TEAM OPT,"$19,178,145",$0,TEAM OPT,,,,,,,"$28,343,400"
Caleb Martin,Dallas,"$9,594,044","$9,594,044",GUARANTEED,"$10,001,494","$10,001,494",GUARANTEED,"$9,731,351","$9,731,351",PLAYER OPT,,,,,,,,,,"$38,513,483"
Naji Marshall,Dallas,"$9,000,000","$9,000,000",GUARANTEED,"$9,428,571","$9,428,571",GUARANTEED,,,,,,,,,,,,,"$27,000,000"
Max Christie,Dallas,"$7,714,286","$7,714,286",GUARANTEED,"$8,285,714","$8,285,714",GUARANTEED,"$8,857,143","$8,857,143",PLAYER OPT,,,,,,,,,,"$32,000,000"
Tyus Jones,Dallas,"$7,000,000","$7,000,000",GUARANTEED,,,,,,,,,,,,,,,,"$10,303,771"
Dereck Lively,Dallas,"$5,253,360","$5,253,360",GUARANTEED,"$7,239,130","$7,239,130",GUARANTEED,,,,,,,,,,,,,"$17,507,050"
Dwight Powell,Dallas,"$4,000,000","$4,000,000",GUARANTEED,,,,,,,,,,,,,,,,"$8,000,000"
AJ Johnson,Dallas,"$3,090,480","$3,090,480",GUARANTEED,"$3,237,120","$3,237,120",GUARANTEED,"$5,493,393",$0,TEAM OPT,,,,,,,,,,"$9,122,894"
Marvin Bagley,Dallas,"$3,080,921","$2,296,274",GUARANTEED,,,,,,,,,,,,,,,,"$15,580,921"
Brandon Williams,Dallas,"$2,270,735","$2,270,735",GUARANTEED,,,,,,,,,,,,,,,,"$2,318,724"
Ryan Nembhard,Dallas,"$636,435",$0,TWO-WAY,,,,,,,,,,,,,,,,$0
Moussa Cisse,Dallas,"$636,435",$0,TWO-WAY,,,,,,,,,,,,,,,,$0
Miles Kelly,Dallas,"$636,435",$0,TWO-WAY,,,,,,,,,,,,,,,,$0
Nikola Jokic,Denver,"$55,224,526","$55,224,526",GUARANTEED,"$59,033,114","$59,033,114",GUARANTEED,"$62,841,702","$62,841,702",PLAYER OPT,,,,,,,,,,"$228,515,280"
Jamal Murray,Denver,"$46,394,100","$46,394,100",GUARANTEED,"$50,105,628","$50,105,628",GUARANTEED,"$53,817,156","$53,817,156",GUARANTEED,"$57,528,684","$57,528,684",GUARANTEED,,,,,,,"$243,861,768"
Aaron Gordon,Denver,"$22,841,455","$22,841,455",GUARANTEED,"$31,978,037","$31,978,037",GUARANTEED,"$34,536,280","$34,536,280",GUARANTEED,"$37,094,523","$37,094,523",PLAYER OPT,,,,,,,"$149,291,750"
Cameron Johnson,Denver,"$21,057,065","$21,057,065",GUARANTEED,"$23,062,500","$23,062,500",GUARANTEED,,,,,,,,,,,,,"$67,182,065"
Jonas Valanciunas,Denver,"$10,395,000","$10,395,000",GUARANTEED,"$10,000,000","$2,000,000",PARTIAL G,,,,,,,,,,,,,"$22,295,000"
Zeke Nnaji,Denver,"$8,177,778","$8,177,778",GUARANTEED,"$7,466,667","$7,466,667",GUARANTEED,"$7,466,667","$7,466,667",PLAYER OPT,,,,,,,,,,"$32,000,001"
Christian Braun,Denver,"$4,921,797","$4,921,797",GUARANTEED,"$21,551,726","$21,551,726",GUARANTEED,"$23,275,863","$23,275,863",GUARANTEED,"$25,000,000","$25,000,000",GUARANTEED,"$26,724,137","$26,724,137",GUARANTEED,"$28,448,274","$28,448,274",GUARANTEED,"$133,011,437"
Peyton Watson,Denver,"$4,356,476","$4,356,476",GUARANTEED,,,,,,,,,,,,,,,,"$6,770,036"
Tim Hardaway Jr,Denver,"$3,634,153","$2,296,274",GUARANTEED,,,,,,,,,,,,,,,,"$19,827,336"
DaRon Holmes,Denver,"$3,218,760","$3,218,760",GUARANTEED,"$3,372,120","$3,372,120",GUARANTEED,"$5,547,137",$0,TEAM OPT,,,,,,,,,,"$9,656,520"
Bruce Brown,Denver,"$3,080,921","$2,296,274",GUARANTEED,,,,,,,,,,,,,,,,"$26,080,921"
Julian Strawther,Denver,"$2,674,200","$2,674,200",GUARANTEED,"$4,826,931","$4,826,931",GUARANTEED,,,,,,,,,,,,,"$10,053,651"
Jalen Pickett,Denver,"$2,221,677","$2,221,677",GUARANTEED,"$2,406,205",$0,TEAM OPT,,,,,,,,,,,,,"$4,113,534"
Curtis Jones,Denver,"$636,435",$0,TWO-WAY,,,,,,,,,,,,,,,,$0
Tamar Bates,Denver,"$636,435",$0,TWO-WAY,,,,,,,,,,,,,,,,$0
Spencer Jones,Denver,"$623,967","$623,967",GUARANTEED,,,,,,,,,,,,,,,,"$623,967"
KJ Simpson,Denver,"$170,508",$0,TWO-WAY,"$679,042",$0,TWO-WAY,,,,,,,,,,,,,$0
Cade Cunningham,Detroit,"$46,394,100","$46,394,100",GUARANTEED,"$50,105,628","$50,105,628",GUARANTEED,"$53,817,156","$53,817,156",GUARANTEED,"$57,528,684","$57,528,684",GUARANTEED,"$61,240,212","$61,240,212",GUARANTEED,,,,"$283,026,589"
