PLAYER,TEAM,2026,CH 25-26,ST 25-26,2027,CH 26-27,ST 26-27,2028,CH 27-28,ST 27-28,2029,CH 28-29,ST 28-29,2030,CH 29-30,ST 29-30,2031,CH 30-31,ST 30-31,TOTAL GUARANTEED (with 2024-25)
Tobias Harris,Detroit,"$26,634,146","$26,634,146",GUARANTEED,,,,,,,,,,,,,,,,"$52,000,000"
Kevin Huerter,Detroit,"$17,991,071","$17,991,071",GUARANTEED,,,,,,,,,,,,,,,,"$34,821,428"
Duncan Robinson,Detroit,"$16,834,692","$16,834,692",GUARANTEED,"$15,992,957","$2,000,000",PARTIAL G,"$15,151,222",$0,NOT G,,,,,,,,,,"$38,240,692"
Isaiah Stewart,Detroit,"$15,000,000","$15,000,000",GUARANTEED,"$15,000,000","$15,000,000",GUARANTEED,"$15,000,000",$0,TEAM OPT,,,,,,,,,,"$45,000,000"
Caris LeVert,Detroit,"$14,104,000","$14,104,000",GUARANTEED,"$14,809,200","$14,809,200",GUARANTEED,,,,,,,,,,,,,"$45,528,584"
Ausar Thompson,Detroit,"$8,775,000","$8,775,000",GUARANTEED,"$11,117,925","$11,117,925",GUARANTEED,,,,,,,,,,,,,"$28,268,925"
Ron Holland,Detroit,"$8,657,280","$8,657,280",GUARANTEED,"$9,069,600","$9,069,600",GUARANTEED,"$11,491,183",$0,TEAM OPT,,,,,,,,,,"$25,972,200"
Jalen Duren,Detroit,"$6,483,144","$6,483,144",GUARANTEED,,,,,,,,,,,,,,,,"$11,019,984"
Paul Reed,Detroit,"$5,335,894","$5,335,894",GUARANTEED,"$5,602,689",$0,NOT G,,,,,,,,,,,,,"$6,866,269"
Daniss Jenkins,Detroit,"$3,809,524","$3,809,524",GUARANTEED,"$4,000,000",$0,TEAM OPT,,,,,,,,,,,,,"$3,809,524"
Marcus Sasser,Detroit,"$2,886,720","$2,886,720",GUARANTEED,"$5,198,983",$0,TEAM OPT,,,,,,,,,,,,,"$5,641,800"
Javonte Green,Detroit,"$2,874,436","$2,296,274",GUARANTEED,,,,,,,,,,,,,,,,"$3,571,391"
Bobi Klintman,Detroit,"$1,955,377","$1,955,377",GUARANTEED,"$2,296,271",$0,NOT G,"$2,486,995",$0,TEAM OPT,,,,,,,,,,"$3,212,530"
Chaz Lanier,Detroit,"$1,372,870","$1,372,870",GUARANTEED,"$2,150,917","$2,150,917",GUARANTEED,"$2,525,901",$0,NOT G,"$2,735,698",$0,TEAM OPT,,,,,,,"$3,523,787"
Tolu Smith,Detroit,"$636,435",$0,TWO-WAY,,,,,,,,,,,,,,,,$0
Wendell Moore,Detroit,"$495,439",$0,TWO-WAY,,,,,,,,,,,,,,,,$0
Isaac Jones,Detroit,"$202,680",$0,TWO-WAY,"$679,042",$0,TWO-WAY,,,,,,,,,,,,,"$152,957"
Stephen Curry,Golden State,"$59,606,817","$59,606,817",GUARANTEED,"$62,587,158","$62,587,158",GUARANTEED,,,,,,,,,,,,,"$177,955,191"
Jimmy Butler,Golden State,"$54,126,450","$54,126,450",GUARANTEED,"$56,832,773","$56,832,773",GUARANTEED,,,,,,,,,,,,,"$159,757,900"
Kristaps Porzingis,Golden State,"$30,731,707","$30,731,707",GUARANTEED,,,,,,,,,,,,,,,,"$60,000,000"
Draymond Green,Golden State,"$25,892,857","$25,892,857",GUARANTEED,"$27,678,571","$27,678,571",PLAYER OPT,,,,,,,,,,,,,"$77,678,571"
Moses Moody,Golden State,"$11,574,075","$11,574,075",GUARANTEED,"$12,500,000","$12,500,000",GUARANTEED,"$13,425,925","$13,425,925",GUARANTEED,,,,,,,,,,"$43,303,269"
Al Horford,Golden State,"$5,685,000","$5,685,000",GUARANTEED,"$5,969,250","$5,969,250",PLAYER OPT,,,,,,,,,,,,,"$21,154,250"
Brandin Podziemski,Golden State,"$3,687,960","$3,687,960",GUARANTEED,"$5,679,458","$5,679,458",GUARANTEED,,,,,,,,,,,,,"$12,887,378"
Gary Payton II,Golden State,"$3,303,774","$2,296,274",GUARANTEED,,,,,,,,,,,,,,,,"$12,433,774"
De'Anthony Melton,Golden State,"$3,080,921","$3,080,921",GUARANTEED,"$3,451,779","$3,451,779",PLAYER OPT,,,,,,,,,,,,,"$19,354,700"
Seth Curry,Golden State,"$2,777,830","$1,755,198",GUARANTEED,,,,,,,,,,,,,,,,"$6,081,601"
Gui Santos,Golden State,"$2,221,677","$2,221,677",GUARANTEED,,,,,,,,,,,,,,,,"$4,113,534"
Quinten Post,Golden State,"$1,955,377","$1,955,377",GUARANTEED,,,,,,,,,,,,,,,,"$2,394,297"
Will Richard,Golden State,"$1,272,870","$1,272,870",GUARANTEED,"$2,150,917","$2,150,917",GUARANTEED,"$2,525,901",$0,NOT G,"$2,735,698",$0,TEAM OPT,,,,,,,"$3,423,787"
Pat Spencer,Golden State,"$857,804","$857,804",GUARANTEED,,,,,,,,,,,,,,,,"$1,296,614"
LJ Cryer,Golden State,"$424,662",$0,TWO-WAY,"$679,042",$0,TWO-WAY,,,,,,,,,,,,,$0
Malevy Leons,Golden State,"$405,359",$0,TWO-WAY,"$679,042",$0,TWO-WAY,,,,,,,,,,,,,$0
Jeenathan Williams,Golden State,"$176,943",$0,TWO-WAY,,,,,,,,,,,,,,,,"$515,881"
Kevin Durant,Houston,"$54,708,609","$54,708,609",GUARANTEED,"$43,902,439","$43,902,439",GUARANTEED,"$46,097,561","$46,097,561",PLAYER OPT,,,,,,,,,,"$195,887,630"
Alperen Sengun,Houston,"$33,944,954","$33,944,954",GUARANTEED,"$35,642,202","$35,642,202",GUARANTEED,"$37,339,450","$37,339,450",GUARANTEED,"$39,036,697","$39,036,697",GUARANTEED,"$39,036,697","$39,036,697",PLAYER OPT,,,,"$190,424,654"
Fred VanVleet,Houston,"$25,000,000","$25,000,000",GUARANTEED,"$25,000,000","$25,000,000",PLAYER OPT,,,,,,,,,,,,,"$92,846,615"
Steven Adams,Houston,"$14,130,434","$14,130,434",GUARANTEED,"$13,000,000","$13,000,000",GUARANTEED,"$11,869,566","$11,869,566",GUARANTEED,,,,,,,,,,"$51,600,000"
Dorian Finney-Smith,Houston,"$12,700,000","$12,700,000",GUARANTEED,"$13,335,000","$13,335,000",GUARANTEED,"$13,335,000",$0,NOT G,"$13,335,000",$0,PLAYER OPT,,,,,,,"$40,959,167"
Jabari Smith,Houston,"$12,350,392","$12,350,392",GUARANTEED,"$23,643,411","$23,643,411",GUARANTEED,"$21,751,940","$21,751,940",GUARANTEED,"$23,643,411","$23,643,411",GUARANTEED,"$25,534,883","$25,534,883",GUARANTEED,"$27,426,355","$27,426,355",GUARANTEED,"$144,121,272"
Reed Sheppard,Houston,"$10,603,560","$10,603,560",GUARANTEED,"$11,108,880","$11,108,880",GUARANTEED,"$14,041,624",$0,TEAM OPT,,,,,,,,,,"$31,811,400"
Amen Thompson,Houston,"$9,690,600","$9,690,600",GUARANTEED,"$12,258,609","$12,258,609",GUARANTEED,,,,,,,,,,,,,"$31,199,169"
Clint Capela,Houston,"$6,700,000","$6,700,000",GUARANTEED,"$7,035,000","$7,035,000",GUARANTEED,"$7,370,000","$7,370,000",GUARANTEED,,,,,,,,,,"$43,370,280"
Tari Eason,Houston,"$5,675,766","$5,675,766",GUARANTEED,,,,,,,,,,,,,,,,"$9,370,926"
Jeff Green,Houston,"$3,634,153","$2,296,274",GUARANTEED,,,,,,,,,,,,,,,,"$11,634,153"
Josh Okogie,Houston,"$3,080,921","$2,296,274",GUARANTEED,,,,,,,,,,,,,,,,"$11,330,921"
Aaron Holiday,Houston,"$3,080,921","$2,296,274",GUARANTEED,,,,,,,,,,,,,,,,"$7,748,921"
Jae'Sean Tate,Houston,"$2,667,947","$2,296,274",GUARANTEED,,,,,,,,,,,,,,,,"$10,233,164"
JD Davison,Houston,"$636,435",$0,TWO-WAY,,,,,,,,,,,,,,,,"$11,997"
Isaiah Crawford,Houston,"$636,435",$0,TWO-WAY,,,,,,,,,,,,,,,,$0
Tristen Newton,Houston,"$321,714",$0,TWO-WAY,"$679,042",$0,TWO-WAY,,,,,,,,,,,,,$0
Pascal Siakam,Indiana,"$45,550,512","$45,550,512",GUARANTEED,"$48,924,624","$48,924,624",GUARANTEED,"$52,298,736","$52,298,736",GUARANTEED,,,,,,,,,,"$188,950,272"
Tyrese Haliburton,Indiana,"$45,550,512","$45,550,512",GUARANTEED,"$48,924,624","$48,924,624",GUARANTEED,"$52,298,736","$52,298,736",GUARANTEED,"$55,672,848","$55,672,848",GUARANTEED,,,,,,,"$244,623,120"
Ivica Zubac,Indiana,"$18,102,000","$18,102,000",GUARANTEED,"$19,550,160","$19,550,160",GUARANTEED,"$20,998,320","$20,998,320",GUARANTEED,,,,,,,,,,"$70,393,690"
Andrew Nembhard,Indiana,"$18,102,000","$18,102,000",GUARANTEED,"$19,550,160","$19,550,160",GUARANTEED,"$20,998,320","$20,998,320",GUARANTEED,,,,,,,,,,"$60,670,179"
Obi Toppin,Indiana,"$14,000,000","$14,000,000",GUARANTEED,"$15,000,000","$15,000,000",GUARANTEED,"$16,025,000","$16,025,000",GUARANTEED,,,,,,,,,,"$58,000,000"
Aaron Nesmith,Indiana,"$11,000,000","$11,000,000",GUARANTEED,"$11,000,000","$11,000,000",GUARANTEED,"$19,418,000","$19,418,000",GUARANTEED,"$20,971,440","$20,971,440",GUARANTEED,,,,,,,"$73,389,440"
TJ McConnell,Indiana,"$10,200,000","$10,200,000",GUARANTEED,"$11,000,000","$11,000,000",GUARANTEED,"$11,800,000","$5,000,000",PARTIAL G,"$11,800,000",$0,TEAM OPT,,,,,,,"$35,700,000"
Jarace Walker,Indiana,"$6,665,520","$6,665,520",GUARANTEED,"$8,478,541","$8,478,541",GUARANTEED,,,,,,,,,,,,,"$21,506,581"
Ben Sheppard,Indiana,"$2,790,720","$2,790,720",GUARANTEED,"$5,031,668","$5,031,668",GUARANTEED,,,,,,,,,,,,,"$10,486,268"
Kobe Brown,Indiana,"$2,654,880","$2,654,880",GUARANTEED,,,,,,,,,,,,,,,,"$5,188,800"
Jay Huff,Indiana,"$2,349,578","$2,349,578",GUARANTEED,"$2,667,944","$379,382",PARTIAL G,"$3,005,085",$0,TEAM OPT,,,,,,,,,,"$4,816,993"
Johnny Furphy,Indiana,"$1,955,377","$1,955,377",GUARANTEED,"$2,296,271","$2,296,271",GUARANTEED,"$2,486,995",$0,TEAM OPT,,,,,,,,,,"$6,102,490"
Micah Potter,Indiana,"$1,527,805","$1,527,805",GUARANTEED,"$2,801,346",$0,TEAM OPT,,,,,,,,,,,,,"$1,527,805"
Kam Jones,Indiana,"$1,272,870","$1,272,870",GUARANTEED,"$2,150,917","$1,075,459",PARTIAL G,"$2,525,901",$0,NOT G,"$2,735,698",$0,TEAM OPT,,,,,,,"$2,348,329"
Quenton Jackson,Indiana,"$636,435",$0,TWO-WAY,,,,,,,,,,,,,,,,$0
Taelon Peter,Indiana,"$636,435",$0,TWO-WAY,"$679,042",$0,TWO-WAY,,,,,,,,,,,,,$0
Ethan Thompson,Indiana,"$431,096",$0,TWO-WAY,"$679,042",$0,TWO-WAY,,,,,,,,,,,,,$0
Kawhi Leonard,LA Clippers,"$50,000,000","$50,000,000",GUARANTEED,"$50,300,000","$50,300,000",GUARANTEED,,,,,,,,,,,,,"$149,505,800"
Darius Garland,LA Clippers,"$39,446,090","$39,446,090",GUARANTEED,"$42,166,510","$42,166,510",GUARANTEED,"$44,886,930","$44,886,930",GUARANTEED,,,,,,,,,,"$163,225,200"
John Collins,LA Clippers,"$26,580,000","$26,580,000",GUARANTEED,,,,,,,,,,,,,,,,"$53,160,000"
Bogdan Bogdanovic,LA Clippers,"$16,020,000","$16,020,000",GUARANTEED,"$16,020,000",$0,TEAM OPT,,,,,,,,,,,,,"$33,280,000"
Derrick Jones,LA Clippers,"$10,000,000","$10,000,000",GUARANTEED,"$10,476,190","$10,476,190",GUARANTEED,,,,,,,,,,,,,"$30,000,000"
Bennedict Mathurin,LA Clippers,"$9,187,573","$9,187,573",GUARANTEED,,,,,,,,,,,,,,,,"$16,433,293"
Brook Lopez,LA Clippers,"$8,750,000","$8,750,000",GUARANTEED,"$9,187,500",$0,TEAM OPT,,,,,,,,,,,,,"$31,750,000"
Isaiah Jackson,LA Clippers,"$7,600,000","$7,600,000",GUARANTEED,"$7,000,000","$7,000,000",GUARANTEED,"$6,400,000","$6,400,000",GUARANTEED,,,,,,,,,,"$25,435,381"
Nicolas Batum,LA Clippers,"$5,601,600","$5,601,600",GUARANTEED,"$5,881,680",$0,TEAM OPT,,,,,,,,,,,,,"$10,269,600"
Kris Dunn,LA Clippers,"$5,426,400","$5,426,400",GUARANTEED,"$5,684,800",$0,TEAM OPT,,,,,,,,,,,,,"$10,594,400"
Bradley Beal,LA Clippers,"$5,354,000","$5,354,000",GUARANTEED,"$5,621,700","$5,621,700",PLAYER OPT,,,,,,,,,,,,,"$61,179,630"
Yanic Konan Niederhauser,LA Clippers,"$2,743,800","$2,743,800",GUARANTEED,"$2,880,960","$2,880,960",GUARANTEED,"$3,018,480",$0,TEAM OPT,"$5,448,356",$0,TEAM OPT,,,,,,,"$5,624,760"
Cam Christie,LA Clippers,"$1,955,377","$1,955,377",GUARANTEED,"$2,296,271",$0,NOT G,"$2,486,995",$0,TEAM OPT,,,,,,,,,,"$3,112,530"
Jordan Miller,LA Clippers,"$712,637","$712,637",GUARANTEED,"$2,497,812",$0,TEAM OPT,,,,,,,,,,,,,"$1,762,637"
Kobe Sanders,LA Clippers,"$475,497","$475,497",GUARANTEED,"$2,150,917",$0,TEAM OPT,,,,,,,,,,,,,"$475,497"
TyTy Washington,LA Clippers,"$344,234",$0,TWO-WAY,,,,,,,,,,,,,,,,$0
Sean Pedulla,LA Clippers,"$170,508",$0,TWO-WAY,"$679,042",$0,TWO-WAY,,,,,,,,,,,,,$0
Norchad Omier,LA Clippers,"$167,291",$0,TWO-WAY,,,,,,,,,,,,,,,,$0
LeBron James,LA Lakers,"$52,627,153","$52,627,153",GUARANTEED,,,,,,,,,,,,,,,,"$101,355,998"
Luka Doncic,LA Lakers,"$45,999,660","$45,999,660",GUARANTEED,"$51,033,600","$51,033,600",GUARANTEED,"$55,116,288","$55,116,288",GUARANTEED,"$59,198,976","$59,198,976",PLAYER OPT,,,,,,,"$254,380,464"
Rui Hachimura,LA Lakers,"$18,259,259","$18,259,259",GUARANTEED,,,,,,,,,,,,,,,,"$35,259,259"
Austin Reaves,LA Lakers,"$13,937,574","$13,937,574",GUARANTEED,"$14,898,786","$14,898,786",PLAYER OPT,,,,,,,,,,,,,"$41,812,722"
Jarred Vanderbilt,LA Lakers,"$11,571,429","$11,571,429",GUARANTEED,"$12,428,571","$12,428,571",GUARANTEED,"$13,285,714","$13,285,714",PLAYER OPT,,,,,,,,,,"$48,000,000"
Luke Kennard,LA Lakers,"$11,000,000","$11,000,000",GUARANTEED,,,,,,,,,,,,,,,,"$20,250,000"
Maxi Kleber,LA Lakers,"$11,000,000","$11,000,000",GUARANTEED,,,,,,,,,,,,,,,,"$22,000,000"
Deandre Ayton,LA Lakers,"$8,104,000","$8,104,000",GUARANTEED,"$8,104,000","$8,104,000",PLAYER OPT,,,,,,,,,,,,,"$50,213,126"
Jake LaRavia,LA Lakers,"$6,000,000","$6,000,000",GUARANTEED,"$6,000,000","$6,000,000",GUARANTEED,,,,,,,,,,,,,"$15,352,680"
Marcus Smart,LA Lakers,"$5,134,000","$5,134,000",GUARANTEED,"$5,390,700","$5,390,700",PLAYER OPT,,,,,,,,,,,,,"$30,734,985"
Dalton Knecht,LA Lakers,"$4,010,160","$4,010,160",GUARANTEED,"$4,201,080","$4,201,080",GUARANTEED,"$6,452,859",$0,TEAM OPT,,,,,,,,,,"$12,030,360"
Jaxson Hayes,LA Lakers,"$3,449,323","$3,449,323",GUARANTEED,,,,,,,,,,,,,,,,"$5,913,269"
Bronny James,LA Lakers,"$1,955,377","$1,955,377",GUARANTEED,"$2,296,271","$1,308,873",PARTIAL G,"$2,486,995",$0,TEAM OPT,,,,,,,,,,"$4,421,403"
Adou Thiero,LA Lakers,"$1,272,870","$1,272,870",GUARANTEED,"$2,150,917","$2,150,917",GUARANTEED,"$2,525,901",$0,TEAM OPT,,,,,,,,,,"$3,423,787"
Kobe Bufkin,LA Lakers,"$844,607","$844,607",GUARANTEED,"$2,497,812",$0,TEAM OPT,,,,,,,,,,,,,"$5,143,607"
Nick Smith,LA Lakers,"$636,435",$0,TWO-WAY,,,,,,,,,,,,,,,,"$2,587,200"
Chris Manon,LA Lakers,"$636,435",$0,TWO-WAY,,,,,,,,,,,,,,,,$0
Drew Timme,LA Lakers,"$447,182",$0,TWO-WAY,,,,,,,,,,,,,,,,"$113,055"
Ja Morant,Memphis,"$39,446,090","$39,446,090",GUARANTEED,"$42,166,510","$42,166,510",GUARANTEED,"$44,886,930","$44,886,930",GUARANTEED,,,,,,,,,,"$163,225,200"
Kentavious Caldwell-Pope,Memphis,"$21,621,500","$21,621,500",GUARANTEED,"$21,621,500","$21,621,500",PLAYER OPT,,,,,,,,,,,,,"$66,000,000"
Santiago Aldama,Memphis,"$18,485,916","$18,485,916",GUARANTEED,"$17,007,043","$17,007,043",GUARANTEED,"$17,007,043",$0,TEAM OPT,,,,,,,,,,"$39,453,490"
Brandon Clarke,Memphis,"$12,500,000","$12,500,000",GUARANTEED,"$12,500,000","$12,500,000",GUARANTEED,,,,,,,,,,,,,"$37,500,000"
Kyle Anderson,Memphis,"$9,219,512","$9,219,512",GUARANTEED,"$9,658,536",$0,NOT G,,,,,,,,,,,,,"$18,000,000"
Ty Jerome,Memphis,"$8,781,000","$8,781,000",GUARANTEED,"$9,220,050","$9,220,050",GUARANTEED,"$9,659,100","$9,659,100",PLAYER OPT,,,,,,,,,,"$30,221,125"
Taylor Hendricks,Memphis,"$6,127,080","$6,127,080",GUARANTEED,"$7,805,900","$7,805,900",GUARANTEED,,,,,,,,,,,,,"$19,781,660"
Zach Edey,Memphis,"$6,045,000","$6,045,000",GUARANTEED,"$6,332,760","$6,332,760",GUARANTEED,"$8,067,936",$0,TEAM OPT,,,,,,,,,,"$18,134,640"
Cedric Coward,Memphis,"$5,715,120","$5,715,120",GUARANTEED,"$6,001,080","$6,001,080",GUARANTEED,"$6,286,920",$0,TEAM OPT,"$8,342,743",$0,TEAM OPT,,,,,,,"$11,716,200"
Walter Clayton,Memphis,"$3,991,320","$3,991,320",GUARANTEED,"$4,190,520","$4,190,520",GUARANTEED,"$4,390,320",$0,TEAM OPT,"$6,752,312",$0,TEAM OPT,,,,,,,"$8,181,840"
Cam Spencer,Memphis,"$2,537,989","$2,537,989",GUARANTEED,"$2,411,090","$2,411,090",GUARANTEED,"$2,616,754","$2,616,754",GUARANTEED,"$2,830,685",$0,TEAM OPT,,,,,,,"$7,565,833"
Scotty Pippen Jr,Memphis,"$2,270,735","$2,270,735",GUARANTEED,"$2,461,462","$350,000",PARTIAL G,"$2,789,215",$0,TEAM OPT,,,,,,,,,,"$4,708,254"
GG Jackson,Memphis,"$2,221,677","$2,221,677",GUARANTEED,"$2,406,205",$0,NOT G,,,,,,,,,,,,,"$4,113,534"
Jaylen Wells,Memphis,"$1,955,377","$1,955,377",GUARANTEED,"$2,296,271","$300,000",PARTIAL G,"$2,486,995",$0,TEAM OPT,,,,,,,,,,"$3,412,530"
Olivier-Maxence Prosper,Memphis,"$636,435",$0,TWO-WAY,,,,,,,,,,,,,,,,"$2,870,400"
Javon Small,Memphis,"$636,435",$0,TWO-WAY,"$679,042",$0,TWO-WAY,,,,,,,,,,,,,$0
Jahmai Mashack,Memphis,"$476,136",$0,TWO-WAY,"$679,042",$0,TWO-WAY,,,,,,,,,,,,,$0
Rayan Rupert,Memphis,"$131,970",$0,10-DAY,,,,,,,,,,,,,,,,"$1,891,857"
Bam Adebayo,Miami,"$37,096,620","$37,096,620",GUARANTEED,"$51,935,268","$51,935,268",GUARANTEED,"$56,090,089","$56,090,089",GUARANTEED,"$60,244,910","$60,244,910",PLAYER OPT,,,,,,,"$240,215,227"
Tyler Herro,Miami,"$31,000,000","$31,000,000",GUARANTEED,"$33,000,000","$33,000,000",GUARANTEED,,,,,,,,,,,,,"$93,000,000"
Andrew Wiggins,Miami,"$28,223,215","$28,223,215",GUARANTEED,"$30,169,644","$30,169,644",PLAYER OPT,,,,,,,,,,,,,"$84,669,645"
Terry Rozier,Miami,"$26,643,031","$26,643,031",GUARANTEED,,,,,,,,,,,,,,,,"$51,567,157"
Norman Powell,Miami,"$20,482,758","$20,482,758",GUARANTEED,,,,,,,,,,,,,,,,"$39,724,137"
Davion Mitchell,Miami,"$11,600,000","$11,600,000",GUARANTEED,"$12,400,000","$12,400,000",GUARANTEED,,,,,,,,,,,,,"$30,451,077"
Simone Fontecchio,Miami,"$8,307,692","$8,307,692",GUARANTEED,,,,,,,,,,,,,,,,"$16,000,000"
Nikola Jovic,Miami,"$4,445,417","$4,445,417",GUARANTEED,"$16,200,000","$16,200,000",GUARANTEED,"$14,904,000","$14,904,000",GUARANTEED,"$15,906,000","$15,906,000",GUARANTEED,"$16,200,000","$16,200,000",GUARANTEED,,,,"$70,119,617"
Kel'el Ware,Miami,"$4,443,360","$4,443,360",GUARANTEED,"$4,654,920","$4,654,920",GUARANTEED,"$7,135,992",$0,TEAM OPT,,,,,,,,,,"$13,330,080"
Jaime Jaquez,Miami,"$3,861,600","$3,861,600",GUARANTEED,"$5,939,141","$5,939,141",GUARANTEED,,,,,,,,,,,,,"$13,486,541"
Kasparas Jakucionis,Miami,"$3,658,800","$3,658,800",GUARANTEED,"$3,841,680","$3,841,680",GUARANTEED,"$4,024,440",$0,TEAM OPT,"$6,205,686",$0,TEAM OPT,,,,,,,"$7,500,480"
Dru Smith,Miami,"$2,378,870","$2,378,870",GUARANTEED,"$2,584,539",$0,NOT G,"$2,934,742",$0,NOT G,,,,,,,,,,"$2,378,870"
Pelle Larsson,Miami,"$1,955,377",$0,GUARANTEED,"$2,296,271",$0,NOT G,,,,,,,,,,,,,"$3,112,530"
Keshad Johnson,Miami,"$1,955,377","$1,955,377",GUARANTEED,,,,,,,,,,,,,,,,"$2,680,260"
Jahmir Young,Miami,"$636,435",$0,TWO-WAY,,,,,,,,,,,,,,,,$0
Vladislav Goldin,Miami,"$636,435",$0,TWO-WAY,,,,,,,,,,,,,,,,$0
Myron Gardner,Miami,"$395,029","$395,029",GUARANTEED,"$2,150,917","$500,000",PARTIAL G,"$2,525,901",$0,NOT G,,,,,,,,,,"$895,029"
Trevor Keels,Miami,"$173,725",$0,TWO-WAY,,,,,,,,,,,,,,,,$0
Giannis Antetokounmpo,Milwaukee,"$54,126,450","$54,126,450",GUARANTEED,"$58,456,566","$58,456,566",GUARANTEED,"$62,786,682","$62,786,682",PLAYER OPT,,,,,,,,,,"$224,157,374"
Myles Turner,Milwaukee,"$25,318,251","$25,318,251",GUARANTEED,"$26,584,164","$26,584,164",GUARANTEED,"$27,850,077","$27,850,077",GUARANTEED,"$29,115,990","$29,115,990",PLAYER OPT,,,,,,,"$128,796,982"
Kyle Kuzma,Milwaukee,"$22,410,605","$22,410,605",GUARANTEED,"$20,345,152","$20,945,152",GUARANTEED,,,,,,,,,,,,,"$67,211,817"
Bobby Portis,Milwaukee,"$13,445,754","$13,445,754",GUARANTEED,"$14,521,414","$14,521,414",GUARANTEED,"$15,597,074","$15,597,074",PLAYER OPT,,,,,,,,,,"$56,142,528"
Ousmane Dieng,Milwaukee,"$6,670,882","$6,670,882",GUARANTEED,,,,,,,,,,,,,,,,"$11,697,922"
Kevin Porter,Milwaukee,"$5,134,000","$5,134,000",GUARANTEED,"$5,390,700","$5,390,700",PLAYER OPT,,,,,,,,,,,,,"$12,762,391"
Ryan Rollins,Milwaukee,"$4,000,000","$4,000,000",GUARANTEED,"$4,000,000","$4,000,000",GUARANTEED,"$4,000,000","$4,000,000",PLAYER OPT,,,,,,,,,,"$12,491,887"
